T(K),Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,FeO,Fe2O3,GAMMA
1478,0.053429935,0.095338466,0.164170774,0.453260887,0.009688253,0.115768138,0.012910083,0.001043639,0.094389825,0.015862516,0.900570525
1473,0.048380803,0.087870249,0.159386542,0.443167544,0.010109128,0.14648449,0.012123201,0.000807397,0.091670646,0.011678808,0.826770712
1480,0.0434232,0.080206268,0.146379464,0.391963732,0.008353577,0.238575588,0.01131606,0.00079109,0.078991022,0.018738526,0.607563709
1484,0.044047133,0.081074254,0.143351106,0.393139014,0.00714204,0.237736534,0.012262913,0.000962949,0.080284057,0.016261683,0.610936687
1636,0.049715731,0.095191003,0.164428903,0.455934684,0.009644478,0.117572221,0.013206772,0.001838096,0.092468112,0.016425257,0.914749675
1636,0.042799659,0.091180874,0.171747208,0.459302714,0.008676619,0.119694129,0.012523807,0.001458197,0.092616794,0.015178003,0.952933864
1630,0.028798422,0.085579006,0.145837196,0.400411186,0.003992517,0.244409905,0.011828671,0.000561413,0.078581683,0.025269822,0.660086254
1632,0.020942762,0.082158641,0.151857738,0.403515752,0.002811559,0.248794587,0.011375524,0.001539659,0.077003777,0.014194824,0.68559291
1636,0.034169579,0.078155986,0.144602327,0.398127927,0.007553069,0.244569751,0.010403865,0.00201894,0.080398557,0.018170572,0.629227209
1734,0.041751957,0.097921102,0.155374909,0.483812199,0.008658401,0.105975219,0.013457171,0.001992952,0.081169168,0.007700866,1.028402909
1734,0.011830922,0.108400822,0.122716817,0.415265358,0.019256713,0.163837142,0.044921921,0.00258645,0.095797604,0.01427105,0.839972079
1732,0.041352745,0.098815831,0.1568794,0.492626672,0.012919839,0.107430339,0.013668789,0.001982554,0.068641628,0.004216892,1.01052009
1732,0.041071045,0.099433727,0.156416328,0.485995251,0.010068631,0.105932532,0.013766411,0.001907015,0.078244985,0.005492798,1.024300043
1732,0.013384737,0.109659239,0.123780699,0.422632634,0.006558114,0.168299411,0.045979184,0.002675329,0.098545127,0.00726122,0.892118732
1732,0.03741197,0.099087237,0.15708683,0.488211076,0.019644955,0.108276131,0.013757413,0.001985175,0.068888775,0.004081719,0.984680942
1732,0.011843721,0.093245801,0.16877947,0.415235206,0.004091903,0.195545602,0.023369875,0.003534529,0.076895408,0.00509938,0.866542655
1732,0.072466502,0.085332824,0.181859468,0.51626813,0.020882208,0.070883496,0.005056274,0.001153578,0.038546688,0.00586152,0.984113111
1732,0.02652287,0.091195712,0.163033978,0.396725475,0.016261849,0.186320492,0.022275597,0.003348355,0.074870554,0.014909775,0.768926833
1732,0.024676901,0.103714169,0.120920538,0.410345232,0.023412765,0.162664168,0.043580635,0.002655906,0.084753028,0.021184171,0.777227571
1732,0.049059576,0.097587673,0.154514505,0.481132105,0.007909842,0.104105588,0.013481934,0.001986166,0.074086521,0.014363554,0.997266889
1732,0.049507921,0.100402605,0.154199423,0.466491694,0.014301092,0.108924524,0.020074695,0.001501043,0.070715921,0.011062491,0.937919323
1731,0.011579917,0.093942078,0.174720515,0.420929989,0.004188481,0.194997534,0.023508103,0.00351154,0.067871181,0.003763473,0.8709021
1731,0.009904254,0.095440566,0.167089854,0.424630864,0.003574438,0.197998312,0.023302887,0.003268296,0.068068385,0.004924096,0.870966763
1728,0.053923557,0.093639628,0.151663365,0.463523243,0.008439533,0.103920357,0.012852686,0.001758307,0.054540479,0.052628021,0.957497737
1728,0.068257261,0.087345484,0.181289653,0.518423011,0.016751906,0.071372176,0.005070239,0.001002528,0.02847727,0.019751835,1.030550788
1728,0.06665602,0.082625313,0.156876867,0.369819826,0.033542481,0.173836901,0.020037819,0.001350012,0.031123296,0.057922174,0.588752784
1728,0.042940885,0.100273529,0.114663451,0.385302248,0.047369426,0.154562407,0.042540947,0.001065846,0.041901741,0.066921682,0.621923966
1728,0.0515352,0.097520806,0.152973813,0.46309446,0.018617144,0.109073302,0.019454005,0.000716598,0.042025367,0.04092769,0.910010625
